06:25(8);Ciudad Alegria,Esteban Godoy,PioJaramillo,Tebaida Baja,Argentina,San Pedro,Lauro Guerrero,La Urna
15:00(15);Hipervalle,Solca,La Paz,Pitas,Terminal Terrestre,Zona Militar y La Urna,Pradera,Parque Infantil,Migas,La Salle,10 de agosto,Recoge: Argentina y Pio Jaramillo,San Pedro,Tebaida Alta,Lauro Guerrero
15:30(14);Predesur,Hipervalle,Calasanz,Terminal Terrestre,Zona Militar y La Urna,Argentina y Pio Jaramillo,San Pedro,Tebaida Alta,Lauro Guerrero,Pradera,Parque Infantil,Migas,La Salle,10 de agosto
16:30(14);Puerta de la Ciudad,Jose Antonio Eguiguren, Mercadillo, Lauro Guerrero, Predesur, Hipervalle, Calasanz,Terminal Terrestre, Zona Militar, Santiago de las Montañas, Emiliano Ortega, Miguel Riofrio, Estadio,10 de agosto y La Urna
17:00(13);Santiago de las Montañas, Emiliano Ortega, Jose Antonio Eguiguren, Miguel Riofrio, Estadio, 10 de agosto,Predesur, Hipervalle, Calasanz, Terminal Terrestre, Zona Militar, Puerta de la Ciudad, Lauro Guerrero y La Urna.
17:30(14);Puerta de la Ciudad, Jose Antonio Eguiguren, Mercadillo, Lauro Guerrero, Predesur, Hipervalle, Calasanz,Terminal Terrestre, Zona Militar, Santiago de las Montañas, Emiliano Ortega, Miguel Riofrio, Estadio,10 de agosto y La Urna.
18:10(9);Predesur, Hipervalle, Calasanz, Terminal Terrestre, Zona Militar, Puerta de la Ciudad, Jose Antonio Eguiguren,Mercadillo, Lauro Guerrero y La Urna.
18:30(14);(parque Infantil primera parada), (El Bosque primera parada), Av. Occidental, Av. De los Paltas, Redondel Epoca,Redondel Operadores, Tebaida Alta – Daniel Alvarez, (Argentina y Pio Jaramillo primera parada),Predesur, Hipervalle, Calasanz, Solca, La Paz, Pitas Terminal Terrestre y Zona Militar.
19:10(9);Pradera: (parque Infantil primera parada), Av. Cuxibamba, Terminal Terrestre y Clodoveo, Tebaida Alta,(Argentina y Pio Jaramillo primera parada), Predesur, Hipervalle, Calasanz, Solca y Pitas.
20:10(14);Predesur, Hipervalle, Solca y Pitas, Av. Cuxibamba, Terminal Terrestre y Clodoveo, Puerta de la Ciudad,Jose Antonio Eguiguren y Mercadillo (ultima parada), Tebaida Alta, (Argentina y Pio Jaramillo primera parada),Santiago de las Montañas, Emiliano Ortega, Jose Antonio Eguiguren, Estadio, Zamora Huayco y Centro de Salud (Ultima parada)
21:10(20);Av. Cuxibamba, Terminal Terrestre, Clodoveo, Puerta de la Ciudad, Jose Antonio Eguiguren, (Mercadillo última parada),Epoca: (El Bosque primera parada), Av. Occidental, Av. De los Paltas, Redondel Época y Redondel Operadores,Santiago de las Montañas, Emiliano Ortega, Jose Antonio Eguiguren, Estadio, Zamora Huayco y Centro de Salud (ultima parada),Esteban Godoy, Ciudad alegria: (primera parada Coliseo Ciudad de Loja), Predesur, Hipervalle, Clinica Nathali y Sauces Norte
